date,stock_id,stock_name,open,high,low,close,volume,turnover,source,updated_at
2026-02-18,2330,TSMC,52.24,53.44,51.64,52.64,2330000,122651200.0,mock_demo_daily,2026-06-18T18:07:33
2026-02-19,2330,TSMC,52.32,53.52,51.72,52.72,2340000,123364800.0,mock_demo_daily,2026-06-18T18:07:33
2026-02-20,2330,TSMC,52.4,53.6,51.8,52.8,2350000,124080000.0,mock_demo_daily,2026-06-18T18:07:33
2026-02-23,2330,TSMC,52.48,53.68,51.88,52.88,2360000,124796800.0,mock_demo_daily,2026-06-18T18:07:33
2026-02-24,2330,TSMC,52.56,53.76,51.96,52.96,2370000,125515200.0,mock_demo_daily,2026-06-18T18:07:33
2026-02-25,2330,TSMC,52.64,53.84,52.04,53.04,2380000,126235200.0,mock_demo_daily,2026-06-18T18:07:33
2026-02-26,2330,TSMC,52.72,53.92,52.12,53.12,2390000,126956800.0,mock_demo_daily,2026-06-18T18:07:33
2026-02-27,2330,TSMC,52.8,54.0,52.2,53.2,2400000,127680000.0,mock_demo_daily,2026-06-18T18:07:33
2026-03-02,2330,TSMC,52.88,54.08,52.28,53.28,2410000,128404800.0,mock_demo_daily,2026-06-18T18:07:33
2026-03-03,2330,TSMC,52.96,54.16,52.36,53.36,2420000,129131200.0,mock_demo_daily,2026-06-18T18:07:33
2026-03-04,2330,TSMC,53.04,54.24,52.44,53.44,2430000,129859200.0,mock_demo_daily,2026-06-18T18:07:33
2026-03-05,2330,TSMC,53.12,54.32,52.52,53.52,2440000,130588800.0,mock_demo_daily,2026-06-18T18:07:33
2026-03-06,2330,TSMC,53.2,54.4,52.6,53.6,2450000,131320000.0,mock_demo_daily,2026-06-18T18:07:33
2026-03-09,2330,TSMC,53.28,54.48,52.68,53.68,2460000,132052800.0,mock_demo_daily,2026-06-18T18:07:33
2026-03-10,2330,TSMC,53.36,54.56,52.76,53.76,2470000,132787200.0,mock_demo_daily,2026-06-18T18:07:33
2026-03-11,2330,TSMC,53.44,54.64,52.84,53.84,2480000,133523200.0,mock_demo_daily,2026-06-18T18:07:33
2026-03-12,2330,TSMC,53.52,54.72,52.92,53.92,2490000,134260800.0,mock_demo_daily,2026-06-18T18:07:33
2026-03-13,2330,TSMC,53.6,54.8,53.0,54.0,2500000,135000000.0,mock_demo_daily,2026-06-18T18:07:33
2026-03-16,2330,TSMC,53.68,54.88,53.08,54.08,2510000,135740800.0,mock_demo_daily,2026-06-18T18:07:33
2026-03-17,2330,TSMC,53.76,54.96,53.16,54.16,2520000,136483200.0,mock_demo_daily,2026-06-18T18:07:33
2026-03-18,2330,TSMC,53.84,55.04,53.24,54.24,2530000,137227200.0,mock_demo_daily,2026-06-18T18:07:33
2026-03-19,2330,TSMC,53.92,55.12,53.32,54.32,2540000,137972800.0,mock_demo_daily,2026-06-18T18:07:33
2026-03-20,2330,TSMC,54.0,55.2,53.4,54.4,2550000,138720000.0,mock_demo_daily,2026-06-18T18:07:33
2026-03-23,2330,TSMC,54.08,55.28,53.48,54.48,2560000,139468800.0,mock_demo_daily,2026-06-18T18:07:33
2026-03-24,2330,TSMC,54.16,55.36,53.56,54.56,2570000,140219200.0,mock_demo_daily,2026-06-18T18:07:33
2026-03-25,2330,TSMC,54.24,55.44,53.64,54.64,2580000,140971200.0,mock_demo_daily,2026-06-18T18:07:33
2026-03-26,2330,TSMC,54.32,55.52,53.72,54.72,2590000,141724800.0,mock_demo_daily,2026-06-18T18:07:33
2026-03-27,2330,TSMC,54.4,55.6,53.8,54.8,2600000,142480000.0,mock_demo_daily,2026-06-18T18:07:33
2026-03-30,2330,TSMC,54.48,55.68,53.88,54.88,2610000,143236800.0,mock_demo_daily,2026-06-18T18:07:33
2026-03-31,2330,TSMC,54.56,55.76,53.96,54.96,2620000,143995200.0,mock_demo_daily,2026-06-18T18:07:33
2026-04-01,2330,TSMC,54.64,55.84,54.04,55.04,2630000,144755200.0,mock_demo_daily,2026-06-18T18:07:33
2026-04-02,2330,TSMC,54.72,55.92,54.12,55.12,2640000,145516800.0,mock_demo_daily,2026-06-18T18:07:33
2026-04-03,2330,TSMC,54.8,56.0,54.2,55.2,2650000,146280000.0,mock_demo_daily,2026-06-18T18:07:33
2026-04-06,2330,TSMC,54.88,56.08,54.28,55.28,2660000,147044800.0,mock_demo_daily,2026-06-18T18:07:33
2026-04-07,2330,TSMC,54.96,56.16,54.36,55.36,2670000,147811200.0,mock_demo_daily,2026-06-18T18:07:33
2026-04-08,2330,TSMC,55.04,56.24,54.44,55.44,2680000,148579200.0,mock_demo_daily,2026-06-18T18:07:33
2026-04-09,2330,TSMC,55.12,56.32,54.52,55.52,2690000,149348800.0,mock_demo_daily,2026-06-18T18:07:33
2026-04-10,2330,TSMC,55.2,56.4,54.6,55.6,2700000,150120000.0,mock_demo_daily,2026-06-18T18:07:33
2026-04-13,2330,TSMC,55.28,56.48,54.68,55.68,2710000,150892800.0,mock_demo_daily,2026-06-18T18:07:33
2026-04-14,2330,TSMC,55.36,56.56,54.76,55.76,2720000,151667200.0,mock_demo_daily,2026-06-18T18:07:33
2026-04-15,2330,TSMC,55.44,56.64,54.84,55.84,2730000,152443200.0,mock_demo_daily,2026-06-18T18:07:33
2026-04-16,2330,TSMC,55.52,56.72,54.92,55.92,2740000,153220800.0,mock_demo_daily,2026-06-18T18:07:33
2026-04-17,2330,TSMC,55.6,56.8,55.0,56.0,2750000,154000000.0,mock_demo_daily,2026-06-18T18:07:33
2026-04-20,2330,TSMC,55.68,56.88,55.08,56.08,2760000,154780800.0,mock_demo_daily,2026-06-18T18:07:33
2026-04-21,2330,TSMC,55.76,56.96,55.16,56.16,2770000,155563200.0,mock_demo_daily,2026-06-18T18:07:33
2026-04-22,2330,TSMC,55.84,57.04,55.24,56.24,2780000,156347200.0,mock_demo_daily,2026-06-18T18:07:33
2026-04-23,2330,TSMC,55.92,57.12,55.32,56.32,2790000,157132800.0,mock_demo_daily,2026-06-18T18:07:33
2026-04-24,2330,TSMC,56.0,59.92,55.4,59.12,5000000,295600000.0,mock_demo_daily,2026-06-18T18:07:33
2026-04-27,2330,TSMC,56.08,57.28,55.48,56.48,2810000,158708800.0,mock_demo_daily,2026-06-18T18:07:33
2026-04-28,2330,TSMC,56.16,57.36,55.56,56.56,2820000,159499200.0,mock_demo_daily,2026-06-18T18:07:33
2026-04-29,2330,TSMC,56.24,57.44,55.64,56.64,2830000,160291200.0,mock_demo_daily,2026-06-18T18:07:33
2026-04-30,2330,TSMC,56.32,57.52,55.72,56.72,2840000,161084800.0,mock_demo_daily,2026-06-18T18:07:33
2026-05-01,2330,TSMC,56.4,57.6,55.8,56.8,2850000,161880000.0,mock_demo_daily,2026-06-18T18:07:33
2026-05-04,2330,TSMC,56.48,57.68,55.88,56.88,2860000,162676800.0,mock_demo_daily,2026-06-18T18:07:33
2026-05-05,2330,TSMC,56.56,57.76,55.96,56.96,2870000,163475200.0,mock_demo_daily,2026-06-18T18:07:33
2026-05-06,2330,TSMC,56.64,57.84,56.04,57.04,2880000,164275200.0,mock_demo_daily,2026-06-18T18:07:33
2026-05-07,2330,TSMC,56.72,57.92,56.12,57.12,2890000,165076800.0,mock_demo_daily,2026-06-18T18:07:33
